Price,Close,High,Low,Open,Volume
Ticker,TSM,TSM,TSM,TSM,TSM
Date,,,,,
2018-01-02,34.1712760925293,34.1962662572868,33.67145055282769,33.74642422489328,4984000
2018-01-03,34.74608612060547,34.82939199967066,34.52116501382098,34.646122243521596,6963200
2018-01-04,34.562808990478516,34.987657721727544,34.52948664902551,34.92101303882153,4876600
2018-01-05,35.3708610534668,35.462495918950445,34.812726040493885,34.896028730318704,5330800
2018-01-08,35.35420227050781,35.38752461980848,35.14594235406982,35.32088309900127,3538200
2018-01-09,35.137611389160156,35.404183813058495,35.09596004376241,35.39585481509653,5729900
2018-01-10,34.404537200927734,34.529494420604046,33.92137585228715,34.446188548221805,7102700
2018-01-11,34.179603576660156,34.48783042473968,34.11296208098954,34.337883087239625,5701800
2018-01-12,34.31290054321289,34.404535409164026,33.954693255109696,34.1879465078382,5028000
2018-01-16,35.17926788330078,35.27923176244462,34.82939271740017,34.995998123375074,9081600
2018-01-17,35.92899703979492,36.04562206951166,35.40418122827588,35.53746743049412,7117700
2018-01-18,37.128570556640625,37.36182060160539,36.23721853876124,36.53711326959795,11866200
2018-01-19,37.21188735961914,37.936634293476786,37.13691682624911,37.54510455986137,6543700
2018-01-22,38.63637924194336,38.65304041601351,38.26983976798807,38.31982329019852,8335800
2018-01-23,38.553077697753906,38.794659982188776,38.369811118005366,38.71968627935707,5659600
2018-01-24,37.76168441772461,38.04491481472433,37.695039728223236,38.01992464505817,7400600
2018-01-25,37.57008743286133,38.13655465645749,37.52010708699904,38.07824213442207,7655700
2018-01-26,38.086578369140625,38.10323954546819,37.51177890812011,37.90330860733182,7057300
2018-01-29,37.81999588012695,38.06157492836532,37.653387338801664,37.87830839292176,11604400
2018-01-30,37.38681411743164,37.51176813731851,36.98695553376527,37.128570725195765,10224600
2018-01-31,37.74502182006836,38.153209405572824,37.58674227737621,37.844985672752,6333300
2018-02-01,37.86165237426758,38.261511021195886,37.73669515681759,37.761688506984015,6706500
2018-02-02,37.078590393066406,37.75335359842804,37.0286100519392,37.495110184026814,12051800
2018-02-05,35.779048919677734,37.32850297430543,35.66242389239069,36.69539114361338,11748300
2018-02-06,36.312198638916016,36.403833509287786,35.070968156433615,35.21258655004292,13414100
2018-02-07,34.8876953125,35.812369670259685,34.8876953125,35.812369670259685,15239500
2018-02-08,33.621482849121094,35.087631325014165,33.621482849121094,35.079302326231584,11356000
2018-02-09,34.54615783691406,34.721095413577984,33.288266093562655,33.938039229134006,10588400
2018-02-12,35.42918014526367,35.64577226346394,34.954347734017446,35.01266026327263,6573300
2018-02-13,35.30421447753906,35.53746451785544,34.88769473252069,35.4375006688332,5831900
2018-02-14,35.86235427856445,35.89567662535961,34.921018637261625,35.1292785380405,6860100
2018-02-15,36.25388717651367,36.445485921163915,35.61244624296588,36.25388717651367,6116500
2018-02-16,36.22056579589844,36.62042447079754,36.078950572156664,36.11226974505256,4792100
2018-02-20,36.43715286254883,36.787027963065455,35.820702171141754,35.88734686331283,9291700
2018-02-21,35.729068756103516,36.50379585611934,35.712407582385616,36.370509644170056,6612600
2018-02-22,35.31255340576172,35.60411921595268,35.13761582632375,35.545803511679,7984000
2018-02-23,36.570438385009766,36.570438385009766,35.912336362203156,36.14558642485106,7204900
2018-02-26,36.99528884887695,36.99528884887695,36.48713417975996,36.74537760213903,3897600
2018-02-27,36.33718490600586,36.90365206396929,36.32885590859187,36.69539217288843,5999100
2018-02-28,36.11227035522461,36.578773739386314,36.06229000613914,36.37884280966149,6400100
2018-03-01,35.58745193481445,36.28720531031228,35.24590583354729,36.11226458309247,7792400
2018-03-02,35.829036712646484,35.862359063888036,35.11262522771904,35.31255297957971,4819600
2018-03-05,36.22889709472656,36.453815011950226,35.71241020492518,35.86235760160375,5977200
2018-03-06,36.27054977416992,36.98696443396955,36.178914897526575,36.93698090731109,8632000
2018-03-07,36.820350646972656,36.886992161961324,35.970649880758614,36.078945917633284,4482900
2018-03-08,36.48713684082031,36.97863037229426,36.312199273124705,36.90365667502555,7092400
2018-03-09,37.145233154296875,37.1535621514539,36.2538811021941,36.695391040770154,8336200
2018-03-12,37.670047760009766,37.77834060858852,37.278518172366944,37.31184051552667,5176100
2018-03-13,37.47846221923828,38.111571072708266,37.41181750950741,37.90331112149128,5842300
2018-03-14,37.61172866821289,37.86163984260177,37.34515632515902,37.84497867393678,4300500
2018-03-15,37.74502182006836,38.02825538416667,37.39514356898523,37.57008110563,3942200
2018-03-16,37.46179962158203,37.91997086133062,37.428477267979886,37.48678979788637,8125600
2018-03-19,37.153564453125,37.37848552382227,36.812018348242596,37.25353149196413,5116500
2018-03-20,37.345157623291016,37.41179912247447,37.0869142666965,37.236861612100654,6404200
2018-03-21,37.23686599731445,37.3618200146711,36.86199758965754,37.128569973370574,7036400
2018-03-22,36.3954963684082,36.96196350998444,36.3954963684082,36.73704245278856,6318500
